"criterion_code","criterion_name","group_code","group_name","requirement_code","requirement_name","note","source_row"
"C1","ESTUDIANTES","DOC","Documentos normativos","C1-DOC-01","Modelo educativo","","4"
"C1","ESTUDIANTES","DOC","Documentos normativos","C1-DOC-02","Reglamento académico (directiva académica, reglamento de estudios u otros)","","5"
"C1","ESTUDIANTES","DOC","Documentos normativos","C1-DOC-03","Plan de monitoreo y seguimiento académico a estudiantes","","6"
"C1","ESTUDIANTES","DOC","Documentos normativos","C1-DOC-04","Reglamento de consejería estudiantil (tutoría)","","7"
"C1","ESTUDIANTES","DOC","Documentos normativos","C1-DOC-05","Reglamento de admisión de pregrado","","8"
"C1","ESTUDIANTES","DOC","Documentos normativos","C1-DOC-06","Reglamento de convalidación y reconocimiento de cursos","","9"
"C1","ESTUDIANTES","DOC","Documentos normativos","C1-DOC-07","Reglamento de grados y títulos","","10"
"C1","ESTUDIANTES","REG","Registros (evidencias)","C1-REG-01","Historial académico de graduados en el año 2025 (lista con datos generales)","","11"
"C1","ESTUDIANTES","REG","Registros (evidencias)","C1-REG-02","Evidencias de consejería estudiantil (informe de tutoría)","","12"
"C1","ESTUDIANTES","REG","Registros (evidencias)","C1-REG-03","Reportes de admisión del programa (cifras de estudiantes por modalidad y datos generales de todos los semestres)","","13"
"C1","ESTUDIANTES","REG","Registros (evidencias)","C1-REG-04","Expedientes de traslado interno y externo de estudiantes del programa del 2025","","14"
"C1","ESTUDIANTES","REG","Registros (evidencias)","C1-REG-05","Expediente de convalidación de cursos en el año 2025","","15"
"C1","ESTUDIANTES","REG","Registros (evidencias)","C1-REG-06","Informes y certificados de prácticas Preprofesionales","","16"
"C1","ESTUDIANTES","REG","Registros (evidencias)","C1-REG-07","Expedientes completos de graduados en el 2025","","17"
"C1","ESTUDIANTES","REG","Registros (evidencias)","C1-REG-08","Lista de convenios firmados y vigentes del programa","Asignar comisión","18"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-01","Misión institucional vigente al 2026.","","21"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-02","Misión del programa vigente al 2026.","","22"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-03","Resolución de aprobación de la misión.","","23"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-04","Documento oficial de los Objetivos Educacionales del Programa vigentes al 2026.","","24"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-05","Resolución de aprobación o ratificación de los OEP.","","25"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-06","Currículo o plan de estudios vigente 2026 donde se incluyan los OEP.","","26"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-07","Documento oficial de OEP ratificados o actualizados al 2026.","","27"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-08","Acta de aprobación o ratificación de la matriz OEP–Misión.","","28"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-09","Acta de conformación o actualización de constituyentes 2026.","","29"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-10","Metodología para el establecimiento o ratificación de los OEP.","","30"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-11","Procedimiento o informe del proceso de establecimiento de los OEP.","","31"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-12","Documento de aprobación o ratificación institucional de los OEP.","","32"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-13","Informe o procedimiento de revisión de los OEP 2026.","","33"
"C2","Objetivos Educacionales","DOC","Documentos normativos","C2-DOC-14","Cronograma de revisión de los OEP.","","34"
